Question,Model_Answers,Relevance Score,Tone Score,Acceptance Score
Tell me about yourself.,"I am a software engineer specializing in full-stack development, with experience in building scalable web applications using React, Node.js, and AWS.",0.9,0,0.63
Tell me about yourself.,I'm a software engineer who likes coding and working on websites.,0.6,0,0.42
Tell me about yourself.,I'm just someone who likes computers.,0.3,0,0.21
Why do you want to work at our company?,"I admire your company's innovative projects and commitment to technology leadership, and I believe my skills will help contribute meaningfully.",0.9,0.5,0.78
Why do you want to work at our company?,I heard good things about this company and would like to join.,0.6,0.7,0.63
Why do you want to work at our company?,I just need a job right now.,0.3,0.29,0.3
What are your strengths and weaknesses?,My strengths are problem-solving and collaboration; I'm actively improving my public speaking skills through courses and practice.,0.9,-0.07,0.61
What are your strengths and weaknesses?,I'm good at coding but I get nervous when speaking.,0.6,0.7,0.63
What are your strengths and weaknesses?,I don't really have any weaknesses.,0.3,0.2,0.27
Where do you see yourself in 5 years?,"I see myself leading a development team, mentoring new engineers, and contributing to innovative projects in the tech industry.",0.9,0.32,0.73
Where do you see yourself in 5 years?,Hopefully promoted to a better position.,0.6,0.5,0.57
Where do you see yourself in 5 years?,I don't plan that far ahead.,0.3,0.1,0.24
Why should we hire you?,"I have strong technical skills, a proactive attitude, and a proven ability to learn quickly and adapt to new challenges.",0.9,0.23,0.7
Why should we hire you?,I work hard and am ready to learn.,0.6,-0.05,0.41
Why should we hire you?,"I don't know, you can decide",0.3,0,0.21
Describe a challenging project you worked on.,"I led a project where we migrated a legacy system to microservices architecture, facing issues like service orchestration and data consistency which we solved with well-designed APIs.",0.9,0,0.63
Describe a challenging project you worked on.,I worked on a project where we had some problems but managed to finish.,0.6,0,0.42
Describe a challenging project you worked on.,I don't remember any tough projects.,0.3,-0.39,0.09
How do you handle tight deadlines?,"I prioritize tasks based on urgency and importance, break them into smaller steps, communicate proactively, and stay focused under pressure.",0.9,-0.07,0.61
How do you handle tight deadlines?,I try to work faster when deadlines are close.,0.6,0,0.42
How do you handle tight deadlines?,I just panic and hope for the best.,0.3,1,0.51
Describe a time you had a conflict with a teammate. How did you handle it?,"In one project, a teammate and I disagreed on implementation strategies. I initiated a calm discussion, understood his concerns, and we compromised to select the best solution for the project.",0.9,0.65,0.82
Describe a time you had a conflict with a teammate. How did you handle it?,"I had a disagreement once, and we kind of worked it out.",0.6,0.6,0.6
Describe a time you had a conflict with a teammate. How did you handle it?,I just avoided the person and did my own work.,0.3,0.6,0.39
How do you stay up to date with technology?,"I follow leading tech blogs like TechCrunch, attend webinars, take online courses, and actively participate in developer communities like Stack Overflow.",0.9,-0.13,0.59
How do you stay up to date with technology?,I sometimes read articles or watch YouTube videos.,0.6,0,0.42
How do you stay up to date with technology?,I don't really keep up unless necessary.,0.3,0.1,0.24
What programming languages are you most comfortable with?,I am highly proficient in Python and JavaScript. I have built several production-grade applications using Django and React.,0.9,0.08,0.65
What programming languages are you most comfortable with?,I'm familiar with a few languages like Python and JavaScript.,0.6,0.09,0.45
What programming languages are you most comfortable with?,I don't really know many languages yet.,0.3,0.35,0.32
What would you do if you don't know the answer to a question during an interview?,"I would stay calm, admit that I don't know, but explain how I would approach solving it or mention related topics I am familiar with.",0.9,0.23,0.7
What would you do if you don't know the answer to a question during an interview?,I'd probably say I don't know and move on.,0.6,0,0.42
What would you do if you don't know the answer to a question during an interview?,I'd just stay silent and hope the interviewer moves on.,0.3,0,0.21
How do you ensure code quality in your work?,"I write unit and integration tests, perform code reviews, follow coding standards, and use static code analysis tools like ESLint and SonarQube.",0.9,0.5,0.78
How do you ensure code quality in your work?,I usually test my code manually to see if it works.,0.6,-0.25,0.34
How do you ensure code quality in your work?,"I just run it once and if it works, it's fine.",0.3,0.42,0.33
"Explain a project where you used version control (e.g., Git).","I regularly use Git for version control, working with branching strategies, pull requests, and conflict resolution. I'm also familiar with GitHub Actions for CI/CD.",0.9,0.19,0.69
"Explain a project where you used version control (e.g., Git).",I've used Git to push and pull code for projects.,0.6,0,0.42
"Explain a project where you used version control (e.g., Git).",I've barely used version control systems.,0.3,0.05,0.22
How do you prioritize tasks when working on multiple projects?,"I assess task urgency, impact, and deadlines, then plan using Agile methods like Scrum or Kanban. I also communicate regularly with stakeholders to adjust priorities if needed.",0.9,0.25,0.7
How do you prioritize tasks when working on multiple projects?,I try to do the most urgent tasks first.,0.6,0.38,0.53
How do you prioritize tasks when working on multiple projects?,I just work on whatever I feel like doing.,0.3,-0.07,0.19
What is your process for debugging a complex issue?,"I start by reproducing the bug, reading logs carefully, using debuggers like pdb or browser DevTools, and systematically isolating the issue. I also write unit tests around the broken part.",0.9,-0.25,0.56
What is your process for debugging a complex issue?,I look at the error messages and try different things to fix it.,0.6,0,0.42
What is your process for debugging a complex issue?,I just guess and change things randomly.,0.3,-0.5,0.06
Explain RESTful APIs.,"RESTful APIs are web services that follow REST architecture principles' stateless communication, resource-based endpoints, standard HTTP methods like GET, POST, PUT, DELETE making them scalable and flexible.",0.9,0,0.63
Explain RESTful APIs.,REST APIs help connect two systems over the internet.,0.6,0,0.42
Explain RESTful APIs.,I'm not really sure what RESTful APIs are.,0.3,-0.32,0.11
What is your experience with cloud technologies?,"I have deployed applications using AWS EC2, S3, and Lambda. I understand the basics of scalability, cost optimization, and serverless architecture.",0.9,0,0.63
What is your experience with cloud technologies?,I've hosted some projects on cloud platforms like AWS.,0.6,0,0.42
