Timestamp,Job Type,Question Type,Question,Answer,Relevance Feedback,Tone Feedback,Relevance Score,Tone Score,Acceptance Score
5/1/2025 22:43,Software Engineer,Situational,What would you do if you discovered a critical bug right before deployment?,"If I discovered a critical bug before deployment, I’d immediately report it to the team and halt the release if necessary. Ensuring product quality and user trust is more important than meeting a deadline. I would work to reproduce and isolate the issue, collaborate with QA or relevant developers, and apply a quick but safe fix. Afterward, I'd prioritize writing tests to prevent similar bugs and document the incident for future process improvement.",No learning data available yet.,✅ Positive tone – sounds confident!,0,0.24,0.07
5/1/2025 22:43,Software Engineer,Behavioral,Describe a time when you disagreed with your manager. What happened?,"we had a disagreement on what approach to use to complete a task, I politely explained my point, the manager still didn't get so we first tried the manager's approach but when it failed, I made him re-analyze the approach and he understood my stand and appreciated my farsightedness, then we followed my idea and it led to success",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0,0.07,0.02
5/1/2025 22:43,Software Engineer,Technical,"Explain a project where you used version control (e.g., Git).",I have used git for my personal projects and multiple office projects so that I can freely code without the stress of losing the code that I previously have finalized. I have used GitHub to upload my git repositories for my peers to review and to showcase my skills,No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0,0.06,0.02
5/1/2025 22:43,Software Engineer,Technical,How do you approach writing scalable code?,"I follow principles like modularity, DRY (Don’t Repeat Yourself), and separation of concerns. I prefer stateless components and services where possible, and I use design patterns like caching, batching, and lazy loading to optimize performance. I also consider future extensibility by writing clear, well-documented code and using unit tests to ensure reliability.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0,-0.11,-0.03
5/1/2025 22:43,Software Engineer,General,How do you handle stress and pressure?,"I break large tasks into smaller, manageable pieces and prioritize based on impact and urgency. During high-pressure situations, I focus on staying calm, communicating clearly with teammates, and avoiding burnout through short breaks and structured planning. I also remind myself of the bigger picture and my long-term goals, which helps me maintain perspective.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0,0.03,0.01
5/1/2025 22:43,Software Engineer,General,How do you stay up to date with technology?,"I regularly read developer blogs, follow GitHub projects, and stay active on platforms like Stack Overflow and Medium. I also take courses on platforms like Coursera and Udemy to learn new frameworks and tools. Participating in online communities and hackathons helps me stay engaged and experiment with new technologies hands-on.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0,0.03,0.01
5/1/2025 22:43,Software Engineer,General,Why should we hire you?,"because I am competent individual who has love for learning new technologies, tools and am very adaptable to different situations. I am able to handle stress, and collaborate well with my teammates.",No learning data available yet.,✅ Positive tone – sounds confident!,0,0.26,0.08
5/1/2025 22:43,Software Engineer,General,Tell me about yourself.,"I’m an aspiring software engineer with a strong academic record and a deep interest in building impactful applications. I’ve worked on projects ranging from educational platforms to interview simulators using tools like Django, Streamlit, and PostgreSQL. I thrive in collaborative environments and always look for ways to improve both my code and team processes.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0,0.17,0.05
5/1/2025 22:43,Software Engineer,General,Tell me about yourself.,"I’m an aspiring software engineer with a strong academic record and a deep interest in building impactful applications. I’ve worked on projects ranging from educational platforms to interview simulators using tools like Django, Streamlit, and PostgreSQL. I thrive in collaborative environments and always look for ways to improve both my code and team processes.",No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0,0.17,0.05
5/1/2025 22:43,Software Engineer,Situational,How would you approach a new technology you've never used before?,I start by understanding the fundamentals—reading official documentation and beginner tutorials. I like to get hands-on quickly by building a small project or replicating a simple example. I also seek advice from online communities or colleagues if needed. My goal is to break the learning into chunks and connect it with what I already know.,No learning data available yet.,😐 Neutral – consider showing more enthusiasm or details.,0,0.03,0.01
